600131000;4007430164315;Metabo SXE 425 TurboTec 125 mm;Excentrická bruska Metabo SXE 425 TurboTec 125 mm;5433
600132810;4007430203380;Metabo BE 6 (rychloup. sklíè);Bezpøíklepová vrtaèka Metabo BE 6 (rychloup. sklíè);1924
600133810;4007430203397;Metabo BE 10 (rychloup. sklíè);Bezpøíklepová vrtaèka Metabo BE 10 (rychloup. sklíè);1924
600154850;4007430206817;Metabo S 18 LTX 115 bez aku;Aku satinaèní bruska Metabo S 18 LTX 115 bez aku;14508
600156500;4007430244260;Metabo PowerMaxx BS Quick Basic 14 2x2,0Ah;Aku šroubovák Metabo PowerMaxx BS Quick Basic 14 2x2,0Ah;5312
600157500;4007430244338;Metabo PowerMaxx BS Quick Pro 14 1x/4Ah;Aku šroubovák Metabo PowerMaxx BS Quick Pro 14 1x/4Ah;6643
600166000;4007430214379;Metabo WEPBA 14-125 QuickProtect;Úhlová bruska Metabo WEPBA 14-125 QuickProtect;7490
600170000;4007430210029;Metabo WX 17-150;Úhlová bruska Metabo WX 17-150;6522
600174850;4007430206749;Metabo W 18 LTX 125 Inox bez aku;Aku úhlová bruska Metabo W 18 LTX 125 Inox bez aku;7248
600179000;4007430210036;Metabo WX 17-180;Úhlová bruska Metabo WX 17-180;7248
600191850;4007430206770;Metabo KNS 18 LTX 150 bez aku;Aku koutová bruska Metabo KNS 18 LTX 150 bez aku;18138
600192850;4007430214171;Metabo RB 18 LTX 60 bez aku;Aku pásová bruska na trubky Metabo RB 18 LTX 60 bez aku;16928
600203850;4007430192301;Metabo BHA 18 LTX bez aku;Aku vrtací kladivo Metabo BHA 18 LTX bez aku;7127
600203890;4007430236975;Metabo BHA 18 LT/LTX bez akuvložka;Aku vrtací kladivo Metabo BHA 18 LT/LTX bez akuvložka;7248
600206500;4007430196309;Metabo BHA 36 LTX Compact;Aku vrtací kladivo Metabo BHA 36 LTX Compact;18380
600210650;4007430261571;Metabo KHA 18 LTX 2x5,2AH;Aku kombinované kladivo Metabo KHA 18 LTX 2x5,2AH;18138
600210890;4007430261595;Metabo KHA 18 LTX bez aku;Aku kombinované kladivo Metabo KHA 18 LTX bez aku;7853
600228650;4007430236678;Metabo BHA 18 LTX 2x5,2 Ah;Aku vrtací kladivo Metabo BHA 18 LTX 2x5,2 Ah;19469
600311500;4007430057334;Metabo DSE 300 Intec;Trojúhelníková bruska Metabo DSE 300 Intec;4344
600317500;4007430151360;Metabo DSE 280 I;Trojúhelníková bruska Metabo DSE 280 I;3497
600321850;4007430207005;Metabo BF 18 LTX 90 bez aku;Aku pásový pilník Metabo BF 18 LTX 90 bez aku;10394
600325500;4007430151377;Metabo SXE 325 Intec 125 mm;Excentrická bruska Metabo SXE 325 Intec 125 mm;3497
600334500;4007430207098;Metabo MAG 28 LTX 32;Aku magnetická vrtaèka Metabo MAG 28 LTX 32;59278
600340000;4007430167095;Metabo KHE 56;Kombinované kladivo Metabo KHE 56;24188
600341000;4007430179777;Metabo KHE 76;Kombinované kladivo Metabo KHE 76;26608
600346000;4007430242402;Metabo WQ 1400;Úhlová bruska Metabo WQ 1400;4223
600354000;4007430244529;Metabo W 9-115;Úhlová bruska Metabo W 9-115;2771
600365000;4007430206862;Metabo MFE 65;Fréza na zdivo Metabo MFE 65;36288
600366000;4007430167064;Metabo MHE 56;Bourací kladivo Metabo MHE 56;21768
600367000;4007430242723;Metabo PowerMaxx ULA LED;Aku svítilna Metabo PowerMaxx ULA LED;1440
600368000;4007430242730;Metabo ULA 14.4-18 LED;Aku svítilna Metabo ULA 14.4-18 LED;1682
600369000;4007430242747;Metabo PowerMaxx SLA LED;Aku svítilna Metabo PowerMaxx SLA LED;1682
600370000;4007430242754;Metabo SLA 14.4-18 LED;Aku svítilna Metabo SLA 14.4-18 LED;2045
600371000;4007430244727;Metabo W 9-115 Quick ;Úhlová bruska Metabo W 9-115 Quick ;3013
600374000;4007430240989;Metabo W 9-125 QUICK krabice;Úhlová bruska Metabo W 9-125 QUICK krabice;3255
600375000;4007430185655;Metabo Ba E 75;Pásová bruska Metabo Ba E 75;8579
600376000;4007430244611;Metabo W 9-125;Úhlová bruska Metabo W 9-125;2771
600380000;4007430244871;Metabo WP 9-115 Quick;Úhlová bruska Metabo WP 9-115 Quick;3134
600384000;4007430244949;Metabo WP 9-125 Quick ;Úhlová bruska Metabo WP 9-125 Quick ;3134
600388000;4007430240996;Metabo WEV 10-125 Quick krabice;Úhlová bruska Metabo WEV 10-125 Quick krabice;3860
600396000;4007430167071;Metabo MHE 96;Bourací kladivo Metabo MHE 96;27818
600397000;4007430241207;Metabo WX 2200-230;Úhlová bruska Metabo WX 2200-230;4828
600398000;4007430243744;Metabo W 12-125 Quick krabice;Úhlová bruska Metabo W 12-125 Quick krabice;4344
600404650;4007430241634;Metabo W 18 LTX 150 2x5,2 Ah;Aku úhlová bruska Metabo W 18 LTX 150 2x5,2 Ah;15113
600404890;4007430241641;Metabo W 18 LTX 150 bez aku vložka;Aku úhlová bruska Metabo W 18 LTX 150 bez aku vložka;7248
600405000;4007430045935;Metabo SXE 400 80mm;Excentrická bruska Metabo SXE 400 80mm;4344
600407000;4007430245212;Metabo W 12-150 Quick;Úhlová bruska Metabo W 12-150 Quick;4707
600408500;4007430269447;Metabo W 12-125 HD Set CED;Úhlová bruska Metabo W 12-125 HD Set CED;11483
