1039-24;Kinex 1039-24;8595604715556;7381
1039-30;Kinex 1039-30;8595604709760;728
1039-31;Kinex 1039-31;8595604709777;1191
1039-32;Kinex 1039-32;8595604709784;1336
1039-33;Kinex 1039-33;8595604709791;2449
1039-34;Kinex 1039-34;8595604709807;3298
1039-35;Kinex 1039-35;8595604709814;7137
1039-50;Kinex 1039-50;8595604712487;7394
1039-55;Kinex 1039-55;8595604712494;9387
1039-60;Kinex 1039-60;8595604712500;11845
1039-65;Kinex 1039-65;8595604712517;18070
1039-70;Kinex 1039-70;8595604712524;28780
1061-02-075;Kinex 1061-02-075;8595604704666;401
1061-02-100;Kinex 1061-02-100;8595604704673;451
1061-02-125;Kinex 1061-02-125;8595604704680;529
1061-02-150;Kinex 1061-02-150;8595604704697;647
1061-02-200;Kinex 1061-02-200;8595604704703;749
1061-02-300;Kinex 1061-02-300;8595604704710;967
1061-02-400;Kinex 1061-02-400;8595604704727;1872
1061-02-500;Kinex 1061-02-500;8595604704734;2804
1061-02-600;Kinex 1061-02-600;8595604709821;3940
1061-02-700;Kinex 1061-02-700;8595604711688;7005
1061-02-075;Kinex 1061-02-075;8595604716713;401
1061-02-100;Kinex 1061-02-100;8595604716720;451
1061-02-125;Kinex 1061-02-125;8595604716737;529
1061-02-150;Kinex 1061-02-150;8595604716744;647
1061-02-200;Kinex 1061-02-200;8595604716751;749
1061-02-300;Kinex 1061-02-300;8595604716768;967
1061-02-400;Kinex 1061-02-400;8595604716775;1872
1061-02-500;Kinex 1061-02-500;8595604716782;2804
1061-02-600;Kinex 1061-02-600;8595604716799;3940
1061-02-700;Kinex 1061-02-700;8595604716805;7005
1041-0;Kinex 1041-0;8595604704079;2461
1041-1;Kinex 1041-1;8595604704086;4475
1041-2;Kinex 1041-2;8595604704116;7734
1041-3;Kinex 1041-3;8595604704147;12634
1041-4;Kinex 1041-4;8595604704178;22357
1041-5;Kinex 1041-5;8595604704192;67808
1041-52;Kinex 1041-52;8595604713415;111989
1041-6;Kinex 1041-6;8595604704215;177698
1041-7;Kinex 1041-7;8595604704222;317089
1041-10;Kinex 1041-10;8595604704093;2194
1041-20;Kinex 1041-20;8595604704123;4356
1041-30;Kinex 1041-30;8595604704154;5627
1041-41;Kinex 1041-41;8595604704185;7623
1041-51;Kinex 1041-51;8595604704208;10658
1042-02-060;Kinex 1042-02-060;8595604704239;7751
1042-02-080;Kinex 1042-02-080;8595604704246;12739
1042-02-100;Kinex 1042-02-100;8595604704253;22992
1042-02-030;Kinex 1042-02-030;8595604716812;7108
1042-02-040;Kinex 1042-02-040;8595604716829;7500
1042-02-060;Kinex 1042-02-060;8595604716836;7751
1042-02-080;Kinex 1042-02-080;8595604716843;12739
1042-02-100;Kinex 1042-02-100;8595604716850;22992
1042-02-150;Kinex 1042-02-150;8595604716867;74468
1042-02-160;Kinex 1042-02-160;8595604716874;80811
1042-02-200;Kinex 1042-02-200;8595604716881;144270
1042-02-250;Kinex 1042-02-250;8595604716898;200605
1042-12-060;Kinex 1042-12-060;8595604704109;4235
1042-12-080;Kinex 1042-12-080;8595604704130;5929
1042-12-100;Kinex 1042-12-100;8595604704161;6534
1042-12-030;Kinex 1042-12-030;8595604716904;3388
1042-12-040;Kinex 1042-12-040;8595604716911;3751
1042-12-060;Kinex 1042-12-060;8595604716928;4235
1042-12-080;Kinex 1042-12-080;8595604716935;5929
1042-12-100;Kinex 1042-12-100;8595604716942;6534
1042-12-150;Kinex 1042-12-150;8595604716959;11858
1042-12-160;Kinex 1042-12-160;8595604716966;13576
1042-12-200;Kinex 1042-12-200;8595604716973;16275
1041-80;Kinex 1041-80;8595604712142;4139
1041-82;Kinex 1041-82;8595604712159;7243
1041-84;Kinex 1041-84;8595604712166;8289
1041-86;Kinex 1041-86;8595604712173;10162
1041-88;Kinex 1041-88;8595604712180;19961
1041-90;Kinex 1041-90;8595604712197;38874
1043-01-110;Kinex 1043-01-110;8595604715563;3929
1043-01-140;Kinex 1043-01-140;8595604715570;8226
1043-01-200;Kinex 1043-01-200;8595604715587;11029
1043-02-100;Kinex 1043-02-100;8595604715594;5441
1043-02-140;Kinex 1043-02-140;8595604715600;7123
1043-02-180;Kinex 1043-02-180;8595604715617;11410
1043-03-070;Kinex 1043-03-070;8595604715624;3868
1043-03-130;Kinex 1043-03-130;8595604715631;8091
1043-03-200;Kinex 1043-03-200;8595604715648;15835
