Nùžky PowerGearTM na živý plot se zubovým pøevodem;Fiskars 114790;114790;6411501147905;953;
Nùžky PowerGear Steel na silné vìtve (L), jednoèepelové;Fiskars 112480;112480;6411502964808;1539;
Nùžky PowerGear Steel na silné vìtve (L), dvouèepelové;Fiskars 112470;112470;6411503964715;1539;
Nùžky PowerGear Steel na silné vìtve (M), dvouèepelové;Fiskars 112370;112370;6411502963733;1340;
Nùžky PowerGear Steel na silné vìtve (M), jednoèepelové;Fiskars 112380;112380;6411502963801;1340;
Nùžky PowerGear Steel na silné vìtve (S), dvouèepelové;Fiskars 112270;112270;6411502962705;953;
Nùžky PowerGear Steel na silné vìtve (S), dvouèepelové;Fiskars 112250;112250;6411502962507;923;
Nùžky PowerGearTM Steel na živý plot s oboustranným pøevodem;Fiskars 114770;114770;6411501967701;1131;
Nùžky PowerStepTM zahradní;Fiskars 111670;111670;6411501116703;632;
Nùžky PowerStep na silné vìtve;Fiskars 112850;112850;6411501128508;1227;
Nùžky zahradní profesionální;Fiskars 111960;111960;8008220029629;654;
Nùžky SmartFitTM zahradní;Fiskars 111610;111610;6411501116109;447;
Nùžky SmartFitTM na silné vìtve, teleskopické;Fiskars 112500;112500;6411501125002;1004;
Nùžky SmartFitTM na živý plot, teleskopické;Fiskars 114800;114800;6411501148001;1034;
Nùžky PowerLeverTM zahradní s pákovým pøevodem, dvouèepelové;Fiskars 111340;111340;6411501963406;551;
Nùžky PowerLeverTM zahradní s pákovým pøevodem, jednoèepelové;Fiskars 111330;111330;6411501963307;513;
Nùžky PowerLeverTM na živý plot s pákovým pøevodem;Fiskars 114750;114750;6411501967503;870;
Nùžky FingerloopTM zahradní s chránièem prstù univerzální;Fiskars 111450;111450;6411501964502;395;
Nùžky FingerloopTM zahradní s chránièem prstù dvouèepelové;Fiskars 111440;111440;6411501964403;395;
Nùžky SingleStepTM univerzální ;Fiskars 111270;111270;6411501112705;246;
Nùžky SingleStepTM zahradní dvouèepelové ;Fiskars 111260;111260;6411501112606;246;
