;obj.è.;Jaz.název;cena s DPH, WEB bez dalších slev
Proteco 10.07-1310-08;10.07-1310-08;šroubovák TORX TX 8 4x60mm zelenı PROTECO;50
Proteco 10.07-1310-10;10.07-1310-10;šroubovák TORX TX 10 4x80mm zelenı PROTECO;58
Proteco 10.07-1310-15;10.07-1310-15;šroubovák TORX TX 15 4x80mm zelenı PROTECO;53
Proteco 10.07-1310-20;10.07-1310-20;šroubovák TORX TX 20 4x80mm zelenı PROTECO;53
Proteco 10.07-1310-25;10.07-1310-25;šroubovák TORX TX 25 5x100mm zelenı PROTECO;66
Proteco 10.07-1310-30;10.07-1310-30;šroubovák TORX TX 30 6x115mm zelenı PROTECO;68
Proteco 10.07-1310-40;10.07-1310-40;šroubovák TORX TX 40 7x130mm zelenı PROTECO;89
Proteco 10.07-9090-01;10.07-9090-01;sada šroubovákù 7dílná PL, PZ, PH PROTECO;490
Proteco 10.07-9090-02;10.07-9090-02;sada šroubovákù 5dílná PL PROTECO;405
Proteco 10.07-9090-03;10.07-9090-03;sada šroubovákù 5dílná PL, PH PROTECO;322
Proteco 10.07-9090-04;10.07-9090-04;sada šroubovákù 5dílná PL, PZ PROTECO;322
Proteco 10.07-9090-06;10.07-9090-06;stojánek prodejní závìsnı se šroubováky PROTECO;10275
Proteco 10.09-1028;10.09-1028;øezák trubek ráènovı 3-28mm;596
Proteco 10.09-1035;10.09-1035;øezák trubek ráènovı 10-35mm;660
Proteco 10.09-1035-K;10.09-1035-K;koleèko øezací k 10.09-1028,1035 (balení = 2ks);176
Proteco 10.10-SF-12;10.10-SF-12;sada fréz profilovıch na døevo 12-dílná;633
Proteco 10.10-SF-18;10.10-SF-18;sada fréz profilovıch na døevo 18-dílná;983
Proteco 10.10-SF-35;10.10-SF-35;sada fréz profilovıch na døevo 35-dílná;1889
Proteco 10.10-SF-50;10.10-SF-50;sada fréz profilovıch na døevo 50-dílná;3036
Proteco 10.11-RS08;10.11-RS08;"kleštì štípací na tyèe a svorníky 200mm (8"")";197
Proteco 10.11-RS14;10.11-RS14;"kleštì štípací na tyèe a svorníky 350mm (14"")";363
Proteco 10.11-RS18;10.11-RS18;"kleštì štípací na tyèe a svorníky 450mm (18"")";365
Proteco 10.11-RS18NN;10.11-RS18NN;"noe náhradní ke kleštím na tyèe a svorníky 450mm (18"")";230
Proteco 10.11-RS24;10.11-RS24;"kleštì štípací na tyèe a svorníky 600mm (24"")";612
Proteco 10.11-RS24NN;10.11-RS24NN;"noe náhradní ke kleštím na tyèe a svorníky 600mm (24"")";387
Proteco 10.11-RS30;10.11-RS30;"kleštì štípací na tyèe a svorníky 750mm (30"")";844
Proteco 10.11-RS30NN;10.11-RS30NN;"noe náhradní ke kleštím na tyèe a svorníky 750mm (30"")";532
Proteco 10.11-RS36;10.11-RS36;"kleštì štípací na tyèe a svorníky 900mm (36"")";928
Proteco 10.11-RS36NN;10.11-RS36NN;"noe náhradní ke kleštím na tyèe a svorníky 900mm (36"")";673
Proteco 10.12-1100-90;10.12-1100-90;sada dlát s døevìnou rukojetí 6ks, v døevìné kazetì;784
Proteco 10.12-1103-06;10.12-1103-06;dláto 6mm;108
Proteco 10.12-1103-08;10.12-1103-08;dláto 8mm;108
Proteco 10.12-1103-10;10.12-1103-10;dláto 10mm;113
Proteco 10.12-1103-12;10.12-1103-12;dláto 12mm;113
Proteco 10.12-1103-14;10.12-1103-14;dláto 14mm;117
Proteco 10.12-1103-16;10.12-1103-16;dláto 16mm;117
Proteco 10.12-1103-18;10.12-1103-18;dláto 18mm;122
Proteco 10.12-1103-20;10.12-1103-20;dláto 20mm;119
Proteco 10.12-1103-22;10.12-1103-22;dláto 22mm;121
Proteco 10.12-1103-25;10.12-1103-25;dláto 25mm;121
Proteco 10.12-1103-30;10.12-1103-30;dláto 30mm;135
Proteco 10.12-1103-32;10.12-1103-32;dláto 32mm;142
Proteco 10.12-1103-38;10.12-1103-38;dláto 38mm;146
Proteco 10.12-1103-95;10.12-1103-95;sada dlát 5ks, v plastovém kufru;717
Proteco 10.12-1103-98;10.12-1103-98;sada dlát 8ks (6,12,20,25,32,38mm), v plast. kufru;846
Proteco 10.13-1000-03;10.13-1000-03;dùlkovaè 3 mm;53
Proteco 10.13-1000-04;10.13-1000-04;dùlkovaè 4 mm;58
Proteco 10.13-1000-05;10.13-1000-05;dùlkovaè 5 mm;49
Proteco 10.14-21-150-2;10.14-21-150-2;pilník díl. plochı 150mm sek 2;61
Proteco 10.14-21-200-2;10.14-21-200-2;pilník díl. plochı 200mm sek 2;81
Proteco 10.14-21-250-2;10.14-21-250-2;pilník díl. plochı 250mm sek 2;108
Proteco 10.14-21-300-2;10.14-21-300-2;pilník díl. plochı 300mm sek 2;143
Proteco 10.14-45-150-2;10.14-45-150-2;pilník díl. ètyøhrannı 150mm sek 2;50
Proteco 10.14-45-200-2;10.14-45-200-2;pilník díl. ètyøhrannı 200mm sek 2;73
Proteco 10.14-45-250-2;10.14-45-250-2;pilník díl. ètyøhrannı 250mm sek 2;100
Proteco 10.14-45-300-2;10.14-45-300-2;pilník díl. ètyøhrannı 300mm sek 2;111
Proteco 10.14-50-150-2;10.14-50-150-2;pilník díl. trojhrannı 150mm sek 2;54
Proteco 10.14-50-200-2;10.14-50-200-2;pilník díl. trojhrannı 200mm sek 2;69
Proteco 10.14-50-250-2;10.14-50-250-2;pilník díl. trojhrannı 250mm sek 2;108
Proteco 10.14-60-150-2;10.14-60-150-2;pilník díl. kruhovı 150mm sek 2;83
Proteco 10.14-60-200-2;10.14-60-200-2;pilník díl. kruhovı 200mm sek 2;74
Proteco 10.14-60-250-2;10.14-60-250-2;pilník díl. kruhovı 250mm sek 2;97
Proteco 10.14-60-300-2;10.14-60-300-2;pilník díl. kruhovı 300mm sek 2;119
Proteco 10.14-63-150-2;10.14-63-150-2;pilník díl. úseèovı 150mm sek 2;63
Proteco 10.14-63-200-2;10.14-63-200-2;pilník díl. úseèovı 200mm sek 2;107
Proteco 10.14-63-250-2;10.14-63-250-2;pilník díl. úseèovı 250mm sek 2;115
Proteco 10.14-63-300-2;10.14-63-300-2;pilník díl. úseèovı 300mm sek 2;146
Proteco 10.14-74-200-2;10.14-74-200-2;rašple plochá 200mm;75
Proteco 10.14-74-250-2;10.14-74-250-2;rašple plochá 250mm;95
Proteco 10.14-74-300-2;10.14-74-300-2;rašple plochá 300mm;118
Proteco 10.14-75-200-2;10.14-75-200-2;rašple úseèová 200mm;90
Proteco 10.14-75-250-2;10.14-75-250-2;rašple úseèová 250mm;105
Proteco 10.14-75-300-2;10.14-75-300-2;rašple úseèová 300mm;138
Proteco 10.14-77-200-2;10.14-77-200-2;rašple kruhová 200mm;89
Proteco 10.14-77-250-2;10.14-77-250-2;rašple kruhová 250mm;76
Proteco 10.14-77-300-2;10.14-77-300-2;rašple kruhová 300mm;109
Proteco 10.14-9801-2;10.14-9801-2;sada rašplí 5-dílná 200mm v plast. kufru;440
Proteco 10.14-9901-2;10.14-9901-2;sada pilníkù 6-dílná 200mm v plast. kufru;519
Proteco 10.14-9902-2;10.14-9902-2;sada pilníkù 5-dílná 200mm v krabici;380
Proteco 10.150-075;10.150-075;svìrák zámeènickı 75mm;908
Proteco 10.150-100;10.150-100;svìrák zámeènickı 100mm;1292
Proteco 10.150-125;10.150-125;svìrák zámeènickı 125mm;1816
Proteco 10.150-150;10.150-150;svìrák zámeènickı 150mm;2395
Proteco 10.158-080;10.158-080;svìrák    80 mm  zámeènickı STANDARD;1099
Proteco 10.158-100;10.158-100;svìrák  100 mm  zámeènickı STANDARD;1761
Proteco 10.158-125;10.158-125;svìrák  125 mm  zámeènickı STANDARD;2577
Proteco 10.158-150;10.158-150;svìrák  150 mm  zámeènickı STANDARD;3689
Proteco 10.15-9501;10.15-9501;sada jehlovıch pilníkù  6-dílná s rukojetí v pouzdru;126
Proteco 10.17-014-10;10.17-014-10;"svìrka  TY-014  100 mm  ( 4"" )";18
Proteco 10.17-014-15;10.17-014-15;"svìrka  TY-014  150 mm  ( 6"" )";31
Proteco 10.17-014-23;10.17-014-23;"svìrka  TY-014  230 mm  ( 9"" )";45
Proteco 10.17-201-30;10.17-201-30;"svìrka  TY-201  300/495-93 mm  ( 12"" )";229
Proteco 10.17-201-45;10.17-201-45;"svìrka  TY-201  450/645-93 mm  ( 18"" )";298
Proteco 10.17-201-60;10.17-201-60;"svìrka  TY-201  600/795-93 mm  ( 24"" )";323
Proteco 10.17-207-15;10.17-207-15;"svìrka  TY-207  150/305-63 mm  (   6"" )";145
Proteco 10.17-207-30;10.17-207-30;"svìrka  TY-207  300/455-63 mm  ( 12"" )";162
Proteco 10.17-207-45;10.17-207-45;"svìrka  TY-207  450/605-63 mm  ( 18"" )";187
Proteco 10.17-207-60;10.17-207-60;"svìrka  TY-207  600/755-63 mm  ( 24"" )";186
Proteco 10.17-209-05;10.17-209-05;"svìrka  TY-209    50 mm  ( 2"" )";64
Proteco 10.17-210-08;10.17-210-08;"svìrka  TY-210    80 mm  ( 3"" )";107
Proteco 10.17-211-10;10.17-211-10;"svìrka  TY-211  100 mm  ( 4"" )";128
Proteco 10.17-213-23;10.17-213-23;"svìrka  TY-213  230 mm  ( 9"" )";122
Proteco 10.17-215-16;10.17-215-16;"svìrka  TY-215  160 mm  ( 6 1/4"" )";74
Proteco 10.17-222-13;10.17-222-13;"svìrka  TY-222  130 mm  ( 5"" )";49
Proteco 10.17-5042;10.17-5042;sada svìrek 100 mm, 150 mm, 230 mm;187
Proteco 10.17-80-0001;10.17-80-0001;rukoje døevìná  130 mm  ke svìrkám 10.17-80-****;24
Proteco 10.17-80-0002;10.17-80-0002;rukoje døevìná  150 mm  ke svìrkám 10.17-80-****;24
Proteco 10.17-80-0150;10.17-80-0150;svìrka truhláøská  0150 x 70 mm  PROTECO (ocel 30x8mm);259
Proteco 10.17-80-0200;10.17-80-0200;svìrka truhláøská  0200 x 95 mm  PROTECO (ocel 30x8mm);269
Proteco 10.17-80-0250;10.17-80-0250;svìrka truhláøská  0250 x 110 mm  PROTECO (ocel 30x8mm);275
Proteco 10.17-80-0300;10.17-80-0300;svìrka truhláøská  0300 x 115 mm  PROTECO (ocel 35x8mm);295
Proteco 10.17-80-0350;10.17-80-0350;svìrka truhláøská  0350 x 115 mm  PROTECO (ocel 35x8mm);298
Proteco 10.17-80-0400;10.17-80-0400;svìrka truhláøská  0400 x 120 mm  PROTECO (ocel 35x8mm);334
Proteco 10.17-80-0400-260;10.17-80-0400-260;svìrka truhláøská  0400 x 260 mm  PROTECO;406
Proteco 10.17-80-0500;10.17-80-0500;svìrka truhláøská  0500 x 165 mm  PROTECO (ocel 40x8mm);363
Proteco 10.17-80-0600;10.17-80-0600;svìrka truhláøská  0600 x 165 mm  PROTECO (ocel 40x8mm);375
Proteco 10.17-80-0600-260;10.17-80-0600-260;svìrka truhláøská  0600 x 260 mm  PROTECO;442
Proteco 10.17-80-0700;10.17-80-0700;svìrka truhláøská  0700 x 165 mm  PROTECO (ocel 40x8mm);385
Proteco 10.17-80-0800;10.17-80-0800;svìrka truhláøská  0800 x 165 mm  PROTECO (ocel 40x8mm);432
Proteco 10.17-80-1000;10.17-80-1000;svìrka truhláøská  1000 x 165 mm  PROTECO (ocel 45x8mm);457
Proteco 10.17-80-1250;10.17-80-1250;svìrka truhláøská  1250 x 165 mm  PROTECO (ocel 45x8mm);495
Proteco 10.17-80-1500;10.17-80-1500;svìrka truhláøská  1500 x 165 mm  PROTECO (ocel 45x8mm);528
Proteco 10.17-80-1750;10.17-80-1750;svìrka truhláøská  1750 x 165 mm  PROTECO (ocel 45x8mm);569
Proteco 10.17-80-2000;10.17-80-2000;svìrka truhláøská  2000 x 165 mm  PROTECO (ocel 45x8mm);607
Proteco 10.17-80-2200;10.17-80-2200;svìrka truhláøská  2200 x 165 mm  PROTECO (ocel 45x8mm);658
Proteco 10.17-80-2500;10.17-80-2500;svìrka truhláøská  2500 x 165 mm  PROTECO (ocel 45x8mm);773
Proteco 10.17-81-0150;10.17-81-0150;svìrka truhláøská odlitková  150mm;291
Proteco 10.17-81-0200;10.17-81-0200;svìrka truhláøská odlitková  200mm;295
Proteco 10.17-81-0250;10.17-81-0250;svìrka truhláøská odlitková  250mm;297
Proteco 10.17-89-0160;10.17-89-0160;svìrka zemnící s pákou  160mm  max.350A;291
Proteco 10.17-VR2000;10.17-VR2000;kladkostroj vyprošovací 2t (2000 kg), lano 6mm;482
Proteco 10.17-VR4000;10.17-VR4000;kladkostroj vyprošovací 4t (4000/2000 kg), lano 6mm;772
Proteco 10.211-115;10.211-115;kotouè dia 115 mm segment BETON CHAMPION beton, cihla, stav.mat.;89
Proteco 10.211-125;10.211-125;kotouè dia 125 mm segment BETON CHAMPION beton, cihla, stav.mat.;101
Proteco 10.211-150;10.211-150;kotouè dia 150 mm segment BETON CHAMPION beton, cihla, stav.mat.;125
Proteco 10.211-230;10.211-230;kotouè dia 230 mm segment BETON CHAMPION beton, cihla, stav.mat.;283
Proteco 10.211-230-A10;10.211-230-A10;kotouè dia 230 mm BETON CHAMPION AKCE 15ks za cenu 10ks;2828
Proteco 10.211-230-A20;10.211-230-A20;kotouè dia 230 mm BETON CHAMPION AKCE 35ks za cenu 20ks;5656
Proteco 10.211-230-A30;10.211-230-A30;kotouè dia 230 mm BETON CHAMPION AKCE 60ks za cenu 30ks;8484
Proteco 10.212-115;10.212-115;kotouè dia 115 mm celistvı segment TURBO CHAMPION kámen,bet.,ker.;102
Proteco 10.212-125;10.212-125;kotouè dia 125 mm celistvı segment TURBO CHAMPION kámen,bet.,ker.;118
Proteco 10.212-150;10.212-150;kotouè dia 150 mm celistvı segment TURBO CHAMPION kámen,bet.,ker.;158
Proteco 10.212-230;10.212-230;kotouè dia 230 mm celistvı segment TURBO CHAMPION kámen,bet.,ker.;354
Proteco 10.212-230-A10;10.212-230-A10;kotouè dia 230 mm TURBO CHAMPION AKCE 15ks za cenu 10ks;3542
