600131000;4007430164315;Excentrická bruska Metabo SXE 425 TurboTec 125 mm;Metabo SXE 425 TurboTec 125 mm;5433
600132810;4007430203380;Bezpøíklepová vrtaèka Metabo BE 6  (rychloup. sklíè)*;Metabo BE 6  (rychloup. sklíè)*;1924
600133810;4007430203397;Bezpøíklepová vrtaèka Metabo BE 10  (rychloup. sklíè)*;Metabo BE 10  (rychloup. sklíè)*;1924
600154850;4007430206817;Aku satinaèní bruska Metabo S 18 LTX 115 bez aku*;Metabo S 18 LTX 115 bez aku*;14508
600156500;4007430244260;Aku šroubovák Metabo PowerMaxx BS Quick Basic 14 2x2,0Ah ;Metabo PowerMaxx BS Quick Basic 14 2x2,0Ah ;5312
600156850;4007430243294;Aku šroubovák Metabo PowerMaxx BS Quick Basic 14 bez aku*;Metabo PowerMaxx BS Quick Basic 14 bez aku*;3255
600156890;4007430271761;Aku šroubovák Metabo PowerMaxx BS Quick Basic bez aku*;Metabo PowerMaxx BS Quick Basic bez aku*;3255
600157500;4007430244338;Aku šroubovák Metabo PowerMaxx BS Quick Pro 14 1x/4Ah ;Metabo PowerMaxx BS Quick Pro 14 1x/4Ah ;7248
600157700;4007430244352;Aku šroubovák Metabo PowerMaxx BS Quick Pro 14 1x4,0Ah met;Metabo PowerMaxx BS Quick Pro 14 1x4,0Ah met;8216
600170000;4007430210029;Úhlová bruska Metabo WX 17-150;Metabo WX 17-150;6522
600174850;4007430206749;Aku úhlová bruska Metabo W 18 LTX 125 Inox bez aku*;Metabo W 18 LTX 125 Inox bez aku*;7248
600174880;4007430247100;Aku úhlová bruska Metabo W 18 LTX 125 Inox Set;Metabo W 18 LTX 125 Inox Set;20558
600179000;4007430210036;Úhlová bruska Metabo WX 17-180;Metabo WX 17-180;7248
600191850;4007430206770;Aku koutová bruska Metabo KNS 18 LTX 150 bez aku*;Metabo KNS 18 LTX 150 bez aku*;18138
600191870;4007430206787;Aku koutová bruska Metabo KNS 18 LTX 150 Set 4,0 Ah;Metabo KNS 18 LTX 150 Set 4,0 Ah;25882
600192850;4007430214171;Aku pásová bruska na trubky Metabo RB 18 LTX 60 bez aku*;Metabo RB 18 LTX 60 bez aku*;16928
600203890;4007430236975;Aku vrtací kladivo Metabo BHA 18 LT/LTX bez aku*vložka;Metabo BHA 18 LT/LTX bez aku*vložka;7248
600210650;4007430261571;Aku kombinované kladivo Metabo KHA 18 LTX 2x5,2Ah ;Metabo KHA 18 LTX 2x5,2Ah ;18138
600210840;4007430287311;Aku kombinované kladivo Metabo KHA 18 LTX bez aku*metaloc ;Metabo KHA 18 LTX bez aku*metaloc ;7853
600228650;4007430236678;Aku vrtací kladivo Metabo BHA 18 LTX 2x5,2 Ah;Metabo BHA 18 LTX 2x5,2 Ah;19469
600261840;4007430287298;Aku bezpøíklepová vrtaèka Metabo BE 18 LTX 6 bez aku*metaloc ;Metabo BE 18 LTX 6 bez aku*metaloc ;6038
600261890;4007430263520;Aku bezpøíklepová vrtaèka Metabo BE 18 LTX 6 bez aku*;Metabo BE 18 LTX 6 bez aku*;6038
600288000;4007430273550;Adapter èlánku Metabo PA 14.4-18 LED-USB*;Metabo PA 14.4-18 LED-USB*;1561
600311500;4007430057334;Trojúhelníková bruska Metabo DSE 300 Intec;Metabo DSE 300 Intec;4344
600317500;4007430151360;Trojúhelníková bruska Metabo DSE 280 Intec;Metabo DSE 280 Intec;3497
600321850;4007430207005;Aku pásový pilník Metabo BF 18 LTX 90 bez aku*;Metabo BF 18 LTX 90 bez aku*;10394
600321870;4007430206763;Aku pásový pilník Metabo BF 18 LTX 90 Set 4,0 Ah;Metabo BF 18 LTX 90 Set 4,0 Ah;21526
600334500;4007430207098;Aku magnetická vrtaèka Metabo MAG 28 LTX 32;Metabo MAG 28 LTX 32;59278
600340000;4007430167095;Kombinované kladivo Metabo KHE 56*;Metabo KHE 56*;24188
600341000;4007430179777;Kombinované kladivo Metabo KHE 76*;Metabo KHE 76*;26608
600343000;4007430262004;Bezpøíklepová vrtaèka Metabo BE 500/6 ;Metabo BE 500/6 ;6038
600346000;4007430242402;Úhlová bruska Metabo WQ 1400*;Metabo WQ 1400*;4223
600346510;4007430279590;Úhlová bruska Metabo WQ 1400 Set*;Metabo WQ 1400 Set*;4465
600353000;4007430262011;Bezpøíklepová vrtaèka Metabo BE 500/10;Metabo BE 500/10;6764
600354000;4007430244529;Úhlová bruska Metabo W 9-115;Metabo W 9-115;2771
600365000;4007430206862;Fréza na zdivo Metabo MFE 65 *;Metabo MFE 65 *;36288
600366000;4007430167064;Bourací kladivo Metabo MHE 56*;Metabo MHE 56*;21768
600367000;4007430242723;Aku svítilna Metabo PowerMaxx ULA LED*;Metabo PowerMaxx ULA LED*;1440
600368000;4007430242730;Aku svítilna Metabo ULA 14.4-18 LED* ;Metabo ULA 14.4-18 LED* ;1682
600369000;4007430242747;Aku svítilna Metabo PowerMaxx SLA LED*;Metabo PowerMaxx SLA LED*;1682
600370000;4007430242754;Aku svítilna Metabo SLA 14.4-18 LED* ;Metabo SLA 14.4-18 LED* ;2045
600371000;4007430244727;Úhlová bruska Metabo W 9-115 Quick ;Metabo W 9-115 Quick ;3013
600374000;4007430240989;Úhlová bruska Metabo W 9-125 Quick krabice*;Metabo W 9-125 Quick krabice*;3255
600375000;4007430185655;Pásová bruska Metabo BAE 75;Metabo BAE 75;8579
600376000;4007430244611;Úhlová bruska Metabo W 9-125;Metabo W 9-125;2771
600380000;4007430244871;Úhlová bruska Metabo WP 9-115 Quick;Metabo WP 9-115 Quick;3134
600383000;4007430261991;Bezpøíklepová vrtaèka Metabo BE 600/13-2;Metabo BE 600/13-2;8458
600383700;4007430274243;Bezpøíklepová vrtaèka Metabo BE 600/13-2 Metaloc;Metabo BE 600/13-2 Metaloc;9426
600384000;4007430244949;Úhlová bruska Metabo WP 9-125 Quick ;Metabo WP 9-125 Quick ;3134
600388000;4007430240996;Úhlová bruska Metabo WEV 10-125 Quick ;Metabo WEV 10-125 Quick ;3860
600389000;4007430282767;Úhlová bruska Metabo WEA 10-125 Quick;Metabo WEA 10-125 Quick;3981
600396000;4007430167071;Bourací kladivo Metabo MHE 96*;Metabo MHE 96*;27818
600397000;4007430241207;Úhlová bruska Metabo WX 2200-230*;Metabo WX 2200-230*;4033
600398000;4007430243744;Úhlová bruska Metabo W 12-125 Quick krabice;Metabo W 12-125 Quick krabice;4344
600404650;4007430241634;Aku úhlová bruska Metabo W 18 LTX 150 2x5,2 Ah;Metabo W 18 LTX 150 2x5,2 Ah;15113
600404890;4007430241641;Aku úhlová bruska Metabo W 18 LTX 150 bez aku* vložka;Metabo W 18 LTX 150 bez aku* vložka;7248
