Narex 00624196;00624196;3290;10
Narex 00624193;00624193;3590;10
Narex 65404729;65404729;4190;10
Narex 65403760;65403760;5490;10
Narex 65404731;65404731;5990;10
Narex 65404732;65404732;6990;10
Narex 00624029;00624029;3590;10
Narex 65403761;65403761;4490;10
Narex 65403762;65403762;4990;10
Narex 00631549;00631549;4190;10
Narex 65403713;65403713;4990;10
Narex 65403763;65403763;5490;10
Narex 00763321;00763321;5190;10
Narex 65403764;65403764;6490;10
Narex 00765486;00765486;6990;10
Narex 65403533;65403533;19990;10
Narex 00648684;00648684;4590;10
Narex 00778067;00778067;6690;10
Narex 00648901;00648901;21990;10
Narex 65404714;65404714;2790;10
Narex 65404715;65404715;3290;10
Narex 00764428;00764428;3290;10
Narex 00765549;00765549;3890;10
Narex 65404823;65404823;5490;10
Narex 65403765;65403765;8790;10
Narex 65404827;65404827;5990;10
Narex 65403766;65403766;9290;10
Narex 65403767;65403767;3790;10
Narex 65404830;65404830;6190;10
Narex 65403768;65403768;9290;10
Narex 65404834;65404834;6690;10
Narex 65403769;65403769;9790;10
Narex 65403770;65403770;4290;10
Narex 00765450;00765450;890;10
Narex 65403771;65403771;10790;10
Narex 65403772;65403772;5290;10
Narex 65404844;65404844;12490;10
Narex 65404842;65404842;7190;10
Narex 65404679;65404679;10990;10
Narex 00635516;00635516;17990;10
Narex 00763282;00763282;3490;10
Narex 00763307;00763307;3490;10
Narex 00763283;00763283;3690;10
Narex 00763284;00763284;3690;10
Narex 65403711;65403711;4790;10
Narex 65404733;65404733;4390;10
Narex 65403735;65403735;4690;10
Narex 65404734;65404734;4590;10
Narex 65403736;65403736;4890;10
Narex 00765560;00765560;4990;10
Narex 65403737;65403737;5290;10
Narex 65404735;65404735;5490;10
Narex 65403738;65403738;5690;10
Narex 00778112;00778112;4690;10
Narex 65404736;65404736;5690;10
Narex 00778108;00778108;6190;10
Narex 65404737;65404737;5890;10
Narex 65404738;65404738;6590;10
Narex 00763329;00763329;5590;10
Narex 00763327;00763327;5990;10
Narex 00763325;00763325;6590;10
Narex 00635506;00635506;12890;10
Narex 00635508;00635508;15790;10
Narex 00635510;00635510;15790;10
Narex 00635512;00635512;15990;10
Narex 00764426;00764426;4390;10
Narex 00765532;00765532;4990;10
Narex 00764424;00764424;4390;10
Narex 00765531;00765531;4990;10
Narex 65404742;65404742;5990;10
Narex 65403716;65403716;6790;10
Narex 00624741;00624741;4490;10
Narex 65403712;65403712;5390;10
Narex 00649050;00649050;3990;10
Narex 00649051;00649051;4190;10
Narex 00649052;00649052;4390;10
Narex 65404722;65404722;4490;10
Narex 65404723;65404723;4590;10
Narex 65404724;65404724;4990;10
Narex 00617264;00617264;5690;10
Narex 00629533;00629533;6390;10
Narex 00617326;00617326;6690;10
Narex 00629534;00629534;7290;10
Narex 00629439;00629439;4190;10
Narex 00630380;00630380;4990;10
Narex 00629790;00629790;5490;10
Narex 00630388;00630388;6990;10
Narex 00622834;00622834;4990;10
Narex 65403607;65403607;4490;10
Narex 65403609;65403609;6990;10
Narex 00778023;00778023;9990;10
Narex 00765482;00765482;12990;10
Narex 00614354;00614354;245;10
Narex 00614356;00614356;306;10
Narex 00647528;00647528;265;10
Narex 00614357;00614357;337;10
Narex 00614352;00614352;511;10
Narex 00647531;00647531;614;10
Narex 00614358;00614358;511;10
Narex 00647530;00647530;511;10
Narex 00647533;00647533;34;10
Narex 00647534;00647534;91;10
Narex 00614367;00614367;71;10
Narex 00647526;00647526;409;10
Narex 00619614;00619614;593;10
Narex 00625240;00625240;593;10
Narex 00647529;00647529;819;10
Narex 00764657;00764657;870;10
Narex 00592979;00592979;183;10
Narex 65404720;65404720;255;10
Narex 66622578;66622578;511;10
Narex 00647509;00647509;358;10
Narex 00647510;00647510;378;10
Narex 00647511;00647511;358;10
Narex 00622468;00622468;306;10
Narex 00625165;00625165;142;10
Narex 00620996;00620996;9;10
Narex 00778029;00778029;769;10
Narex 65403694;65403694;1590;10
Narex 00628320;00628320;153;10
Narex 66617866;66617866;142;10
Narex 65403698;65403698;142;10
Narex 66616658;66616658;19;10
Narex 65403701;65403701;99;10
Narex 00648610;00648610;245;10
Narex 00649087;00649087;245;10
Narex 00765495;00765495;245;10
Narex 65403690;65403690;245;10
Narex 00764439;00764439;481;10
Narex 00765550;00765550;3065;10
Narex 00615994;00615994;6652;10
Narex 00594545;00594545;15;10
Narex 00648402;00648402;173;10
Narex 00617001;00617001;172;10
Narex 00617002;00617002;237;10
Narex 00617003;00617003;237;10
Narex 00617004;00617004;237;10
Narex 00617005;00617005;237;10
Narex 00617006;00617006;172;10
Narex 00617007;00617007;237;10
Narex 00617008;00617008;237;10
Narex 00617009;00617009;237;10
Narex 00617010;00617010;237;10
Narex 00617011;00617011;151;10
Narex 00617012;00617012;195;10
Narex 00617013;00617013;195;10
Narex 00617014;00617014;195;10
Narex 00617015;00617015;195;10
Narex 00617016;00617016;151;10
Narex 00617017;00617017;195;10
Narex 00617018;00617018;195;10
Narex 00617019;00617019;195;10
Narex 00617020;00617020;195;10
Narex 00617021;00617021;151;10
Narex 00617022;00617022;109;10
